"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"Arcelormittal Brasil S.A.";"NFM. 443567";"1706/6";"6";"0";"08/04/2026";"100,00";"34";"1.898,67";"0,00";"0,00";"1.898,67";
"                          Obs: PARCELA 1 E 2 PRORROGADAS";
"Cardozo Tintas Ltda";"NFM. 182";"3334/3";"3";"0";"06/05/2026";"22,92";"6";"228,83";"0,00";"0,00";"228,83";
"                          Obs: BOLETO";
"Castro Nichele Locações Ltda";"NFS. 1834";"4732/1";"1";"0";"20/05/2026";"100,00";"0";"365,29";"0,00";"0,00";"365,29";
"CONDUSVALE DISTRIBUIDORA DE MATERIAL ELETRICO LTDA";"NFM. 535991";"3425/4";"5";"0";"29/04/2026";"100,00";"13";"506,70";"0,00";"0,00";"506,70";
"CONDUSVALE DISTRIBUIDORA DE MATERIAL ELETRICO LTDA";"NFM. 535991";"3425/5";"5";"0";"13/05/2026";"100,00";"0";"506,70";"0,00";"0,00";"506,70";
"Construtora Sultepa As";"NFM. 175030";"4165/1";"1";"0";"15/04/2026";"100,00";"27";"990,72";"0,00";"0,00";"990,72";
"Construtora Sultepa As";"NFM. 175029";"4166/1";"1";"0";"15/04/2026";"100,00";"27";"965,76";"0,00";"0,00";"965,76";
"Construtora Sultepa As";"NFM. 175178";"4294/1";"1";"0";"30/04/2026";"100,00";"12";"1.184,15";"0,00";"0,00";"1.184,15";
"Construtora Sultepa As";"NFM. 175048";"4299/1";"1";"0";"30/04/2026";"100,00";"12";"986,88";"0,00";"0,00";"986,88";
"Construtora Sultepa As";"NFM. 175067";"4300/1";"1";"0";"30/04/2026";"100,00";"12";"1.045,44";"0,00";"0,00";"1.045,44";
"Construtora Sultepa As";"NFM. 175047";"4301/1";"1";"0";"30/04/2026";"100,00";"12";"908,16";"0,00";"0,00";"908,16";
"COSTANEIRA - ARNO JOHANN S.A. COMERCIO DE MATERIAIS DE CONSTRUCAO";"NFM. 104298";"1553/1";"1";"0";"23/10/2025";"100,00";"201";"1.558,85";"0,00";"0,00";"1.558,85";
"                          Obs: BOLETO";
"Fma Groff Madeireira Ltda";"NFM. 22377";"2354/1";"1";"0";"29/11/2025";"100,00";"164";"264,50";"0,00";"0,00";"264,50";
"Fma Groff Madeireira Ltda";"NFM. 21976";"1658/3";"3";"0";"21/12/2025";"100,00";"142";"9,83";"0,00";"0,00";"9,83";
"                          Obs: BOLETO AGRUPADO";
"Fma Groff Madeireira Ltda";"NFM. 22983";"3379/3";"3";"0";"10/04/2026";"100,00";"32";"424,10";"0,00";"0,00";"424,10";
"Fma Groff Madeireira Ltda";"NFM. 23209";"3644/3";"3";"0";"14/04/2026";"100,00";"28";"1.344,47";"0,00";"0,00";"1.344,47";
"Fma Groff Madeireira Ltda";"NFM. 23300";"3773/2";"4";"0";"17/04/2026";"100,00";"25";"1.013,03";"0,00";"0,00";"1.013,03";
"Fma Groff Madeireira Ltda";"NFM. 20420";"4163/1";"1";"0";"20/04/2026";"100,00";"22";"935,10";"0,00";"0,00";"935,10";
"Fma Groff Madeireira Ltda";"NFM. 23110";"3404/3";"3";"0";"24/04/2026";"100,00";"18";"603,44";"0,00";"0,00";"603,44";
"Fma Groff Madeireira Ltda";"NFM. 23106";"3419/3";"3";"0";"24/04/2026";"100,00";"18";"2,67";"0,00";"0,00";"2,67";
"Fma Groff Madeireira Ltda";"NFM. 23702";"4369/1";"2";"0";"24/04/2026";"100,00";"18";"649,10";"0,00";"0,00";"649,10";
"Fma Groff Madeireira Ltda";"NFM. 23381";"3961/2";"2";"0";"27/04/2026";"100,00";"15";"573,25";"0,00";"0,00";"573,25";
"Fma Groff Madeireira Ltda";"NFM. 23702";"4369/2";"2";"0";"07/05/2026";"100,00";"5";"649,10";"0,00";"0,00";"649,10";
"Fma Groff Madeireira Ltda";"NFM. 23300";"3773/3";"4";"0";"08/05/2026";"100,00";"4";"1.013,03";"0,00";"0,00";"1.013,03";
"Fma Groff Madeireira Ltda";"NFM. 23816";"4499/1";"1";"0";"11/05/2026";"100,00";"1";"795,70";"0,00";"0,00";"795,70";
"Fma Groff Madeireira Ltda";"NFM. 23300";"3773/4";"4";"0";"29/05/2026";"100,00";"0";"1.013,03";"0,00";"0,00";"1.013,03";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 446426";"4349/1";"1";"0";"08/05/2026";"100,00";"4";"455,15";"0,00";"0,00";"455,15";
"Global Distribuição De Bens De Consumos Ltda";"NFM. 415940";"3427/3";"3";"0";"22/05/2026";"100,00";"0";"1.874,14";"0,00";"0,00";"1.874,14";
"I J M TRANSPORTES LTDA";"NFS. 62";"2807/2";"2";"0";"09/02/2026";"40,00";"92";"800,00";"0,00";"0,00";"800,00";
"                          Obs: FRETE GRAMS";
"Ismael Fogaça Da Silva Esquadrias";"NFM. 110326";"4086/2";"3";"0";"10/05/2026";"100,00";"2";"17.652,60";"0,00";"0,00";"17.652,60";
"                          Obs: CORRIMOES IPANEMA
BOLETOS";
"Ismael Fogaça Da Silva Esquadrias";"NFM. 110326";"4086/3";"3";"0";"10/06/2026";"100,00";"0";"17.652,60";"0,00";"0,00";"17.652,60";
"                          Obs: CORRIMOES IPANEMA
BOLETOS";
"Ivo Penz Comercial Ltda";"NFM. 234579";"1579/3";"3";"0";"27/11/2025";"100,00";"166";"1.158,95";"0,00";"0,00";"1.158,95";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 33";"961/4";"4";"0";"20/11/2025";"100,00";"173";"133,33";"0,00";"0,00";"133,33";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 36";"1311/1";"4";"0";"20/11/2025";"100,00";"173";"1.750,00";"0,00";"0,00";"1.750,00";
"                          Obs: BOLETO";
"Jp Comércio De Chapas De Madeira E Ferragens Ltda.";"NFM. 31";"892/3";"4";"0";"21/11/2025";"100,00";"172";"1.022,50";"0,00";"0,00";"1.022,50";
"                          Obs: BOLETO";
